"identifier","events_per_day","employment_status"
"139",4,"Employed"
"141",9,"Employed"
"144",22,"Employed"
"145",12,"Employed"
"147",44,"Employed"
"148",168,"Employed"
"149",5,"Employed"
"150",6,"Employed"
"151",5,"Employed"
"152",12,"Employed"
"153",7,"Employed"
"154",23,"Employed"
"155",50,"Employed"
"159",14,"Employed"
"162",5,"Employed"
"164",17,"Employed"
"167",5,"Employed"
"168",24,"Employed"
"169",29,"Employed"
"170",16,"Employed"
"171",109,"Employed"
"174",56,"Employed"
"175",48,"Employed"
"176",60,"Employed"
"179",11,"Employed"
"180",7,"Employed"
"181",8,"Employed"
"182",8,"Employed"
"183",10,"Employed"
"186",43,"Employed"
"187",37,"Employed"
"189",24,"Employed"
"190",6,"Employed"
"191",23,"Employed"
"193",10,"Employed"
"194",3,"Employed"
"197",32,"Employed"
"198",6,"Employed"
"200",20,"Employed"
"202",2,"Employed"
"203",1,"Employed"
"204",5,"Employed"
"205",1,"Employed"
"207",17,"Employed"
"209",5,"Employed"
"210",14,"Employed"
"212",1,"Employed"
"213",26,"Employed"
"215",67,"Employed"
"216",46,"Employed"
"218",4,"Employed"
"219",1,"Employed"
"220",4,"Employed"
"221",2,"Employed"
"222",20,"Employed"
"223",4,"Employed"
"224",8,"Employed"
"225",24,"Employed"
"226",3,"Employed"
"227",2,"Employed"
"231",3,"Employed"
"233",13,"Employed"
"236",4,"Employed"
"237",5,"Employed"
"238",81,"Employed"
"239",28,"Employed"
"240",2,"Employed"
"241",5,"Employed"
"242",6,"Employed"
"243",NULL,"Employed"
"246",36,"Employed"
"247",3,"Employed"
"248",5,"Employed"
"249",4,"Employed"
"250",21,"Employed"
"251",3,"Employed"
"252",9,"Employed"
"253",9,"Employed"
"255",10,"Employed"
"256",5,"Employed"
"258",4,"Employed"
"260",28,"Employed"
"261",25,"Employed"
"262",NULL,"Employed"
"263",18,"Employed"
"264",16,"Employed"
"265",138,"Employed"
"267",35,"Employed"
"268",14,"Employed"
"270",6,"Employed"
"271",14,"Employed"
"272",27,"Employed"
"274",22,"Employed"
"275",17,"Employed"
"276",2,"Employed"
"277",21,"Employed"
"278",42,"Employed"
"279",10,"Employed"
"281",8,"Employed"
"282",12,"Employed"
"284",6,"Employed"
"285",6,"Employed"
"287",1,"Employed"
"288",2,"Employed"
"290",5,"Employed"
"291",8,"Employed"
"292",44,"Employed"
"293",31,"Employed"
"294",15,"Employed"
"296",22,"Employed"
"297",394,"Employed"
"299",16,"Employed"
"300",2,"Employed"
"303",40,"Employed"
"304",16,"Employed"
"305",3,"Employed"
"306",7,"Employed"
"309",13,"Employed"
"310",3,"Employed"
"311",109,"Employed"
"312",79,"Employed"
"313",2,"Employed"
"315",14,"Employed"
"316",49,"Employed"
"317",17,"Employed"
"318",13,"Employed"
"321",7,"Employed"
"326",37,"Employed"
"328",40,"Employed"
"329",284,"Employed"
"331",25,"Employed"
"332",15,"Employed"
"333",2,"Employed"
"334",17,"Employed"
"337",6,"Employed"
"340",26,"Employed"
"341",27,"Employed"
"342",177,"Employed"
"349",12,"Employed"
"351",9,"Employed"
"352",21,"Employed"
"355",20,"Employed"
"356",3,"Employed"
"359",9,"Employed"
"360",95,"Employed"
"361",27,"Employed"
"362",38,"Employed"
"363",171,"Employed"
"364",7,"Employed"
"365",13,"Employed"
"367",1,"Employed"
"368",3,"Employed"
"369",5,"Employed"
"370",50,"Employed"
"371",7,"Employed"
"372",8,"Employed"
"373",6,"Employed"
"376",7,"Employed"
"377",4,"Employed"
"378",36,"Employed"
"380",21,"Employed"
"381",10,"Employed"
"382",12,"Employed"
"383",6,"Employed"
"385",7,"Employed"
"386",22,"Employed"
"387",9,"Employed"
"388",13,"Employed"
"389",3,"Employed"
"390",6,"Employed"
"392",29,"Employed"
"393",15,"Employed"
"394",13,"Employed"
"395",10,"Employed"
"396",11,"Employed"
"397",43,"Employed"
"400",26,"Employed"
"401",13,"Employed"
"402",43,"Employed"
"403",2,"Employed"
"406",16,"Employed"
"407",2,"Employed"
"408",26,"Employed"
"409",9,"Employed"
"411",61,"Employed"
"412",15,"Employed"
"413",39,"Employed"
"415",10,"Employed"
"416",20,"Employed"
"417",7,"Employed"
"419",5,"Employed"
"420",31,"Employed"
"422",1,"Employed"
"423",72,"Employed"
"424",11,"Employed"
"425",17,"Employed"
"426",110,"Employed"
"427",34,"Employed"
"428",20,"Employed"
"429",4,"Employed"
"430",22,"Employed"
"431",0,"Employed"
"432",9,"Employed"
"433",117,"Employed"
"434",7,"Employed"
"435",143,"Employed"
"436",11,"Employed"
"437",15,"Employed"
"441",23,"Employed"
"445",9,"Employed"
"446",2,"Employed"
"447",6,"Employed"
"448",25,"Employed"
"449",38,"Employed"
"455",13,"Employed"
"457",40,"Employed"
"458",12,"Employed"
"460",32,"Employed"
"461",123,"Employed"
"462",49,"Employed"
"463",21,"Employed"
"464",27,"Employed"
"466",16,"Employed"
"468",3,"Employed"
"469",55,"Employed"
"470",82,"Employed"
"471",2,"Employed"
"472",18,"Employed"
"474",49,"Employed"
"475",4,"Employed"
"476",123,"Employed"
"477",9,"Employed"
"479",57,"Employed"
"480",14,"Employed"
"481",1,"Employed"
"482",3,"Employed"
"483",4,"Employed"
"484",44,"Employed"
"485",3,"Employed"
"486",112,"Employed"
"489",10,"Employed"
"491",5,"Employed"
"492",8,"Employed"
"493",66,"Employed"
"494",7,"Employed"
"495",40,"Employed"
"496",1,"Employed"
"498",20,"Employed"
"499",1,"Employed"
